	.099999994	.1999999881	.2999999821	.3999999762	.5	.5999999642	.6999999881	.7999999523	1	1.1999999285	1.3999999762	1.5999999046	1.7999999523	2	2.2000000477	2.3999998569
																
400																
800				4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375	4.375
1200				.9375	1.875	1.875	1.875	1.875	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875	2.1875
1600						1.25	2.8125	3.125	3.125	4.0625	3.125	3.125	3.125	3.125	3.125	3.125
2000						1.25	1.875	2.8125	3.125	4.0625	3.125	3.125	4.0625	4.0625	4.0625	4.0625
2400						1.875	3.4375	3.4375	3.4375	3.4375	5	5	4.375	4.375	4.375	4.375
2800						1.25	1.875	1.875	2.8125	3.125	3.4375	4.0625	5	5	5	5
3200						1.25	1.875	1.875	1.875	3.4375	3.4375	4.0625	4.375	4.375	5.3125	5.3125
3600						1.25	1.875	1.875	3.125	2.8125	3.125	4.375	5.625	5.625	6.25	6.25
4000						1.25	1.875	1.875	3.125	2.8125	2.8125	4.375	5.3125	5	5.625	5.625
4400						1.25	1.875	2.8125	3.125	1.875	1.875	3.125	4.375	4.375	4.375	4.375
4800						.9375	1.875	2.8125	2.8125	2.8125	2.8125	3.125	4.0625	5	5	5
5200						.9375	1.875	1.875	1.875	1.875	2.8125	3.4375	4.375	5.625	5.625	5.625
5600						.9375	1.875	1.875	1.875	1.875	1.875	3.125	3.125	5	5.625	5.625
6000						.9375	1.875	1.875	1.875	1.875	1.875	4.375	6.875	7.1875	8.125	8.125
6400						.9375	1.875	1.875	1.875	1.875	1.875	4.375	7.5	7.5	8.4375	8.4375
6600						.9375	1.875	1.875	1.875	1.875	1.875	4.375	7.5	7.5	8.4375	8.4375
6800						.9375	1.875	1.875	1.875	1.875	1.875	4.375	7.5	7.5	8.4375	8.4375
7200						.9375	1.875	1.875	1.875	1.875	1.875	4.375	7.5	7.5	8.4375	8.4375
7600						.9375	1.875	1.875	1.875	1.875	1.875	4.375	7.5	7.5	8.4375	8.4375
